project_id,name,platform,url,source_domain,description,description_zh,category,stars_or_support,market_validation,hardware_license,normalized_commercial_score,hero_image_status,hero_image_source_url,hero_image_local_filename
0b61957aff61ec82,badgekit-api-client-24fbcd84,GitLab,https://gitlab.com/gitlab-oss-package-research/source/npm/ba/badgekit-api-client-24fbcd84,gitlab.com,,,电子礼物/徽章/挂件,0.0,GitLab 0 stars，0 forks,待核验,8.28,无合格英雄图,,
e593a52a30c6bf79,OctoPrintAPI,GitHub,https://github.com/chunkysteveo/OctoPrintAPI,github.com,"Library for use with Arduino compatible micro controllers (web enabled) to access the Octoprint API on Raspberry Pi's running the Octoprint 3D printer web server by the brilliant Gina Häußge, aka @foosel.","与Arduino兼容的微控制器( 网络已启用) 使用图书馆访问 Raspberry Pi 上 Octoprint API 的 Octoprint 3D 打印机服务器, 由 Excellent Gina Häuge 提供, aka @foosel 提供 。",键盘/宏键盘/控制器,48.0,GitHub 48 stars，24 forks,待核验,8.27,无合格英雄图,,
d1d527d653bfaee5,badgetizr-integration,GitLab,https://gitlab.com/chris-saez/badgetizr-integration,gitlab.com,,,电子礼物/徽章/挂件,0.0,GitLab 0 stars，0 forks,待核验,8.27,无合格英雄图,,
161563be2c631226,runner.cozybadger.de,GitLab,https://gitlab.com/cozybadgerde/infrastructure/runner.cozybadger.de,gitlab.com,Contribute a GitLab runner to the cozybadger projects.,提供GitLab 和 提供,电子礼物/徽章/挂件,1.0,GitLab 1 stars，0 forks,待核验,8.27,无合格英雄图,,
56ba058997b14d5e,BadgerHack | Tutorials - SparkFun Learn,SparkFun教程项目,https://learn.sparkfun.com/tutorials/tags/badgerhack,learn.sparkfun.com,,,电子礼物/徽章/挂件,0.0,收录于SparkFun教程项目公开项目/商品目录,页面待核验,8.21,无合格英雄图,,
226050c58996c7de,ds,GitLab,https://gitlab.com/devnw/codepros/oss/ds,gitlab.com,[![Build & Test Action Status](https://github.com/devnw/ds/actions/workflows/build.yml/badge.svg)](https://github.com/devnw/ds/actions),[! [建筑和试验行动状态] (https://github.com/devnw/ds/actions/workflows/building.yml/badge.svg)] (https://github.com/devnw/ds/actions),电子礼物/徽章/挂件,0.0,GitLab 0 stars，0 forks,待核验,8.19,无合格英雄图,,
bc203c5af8481e00,RetireMate,GitLab,https://gitlab.com/pratyush0898/RetireMate,gitlab.com,[![Netlify Status](https://api.netlify.com/api/v1/badges/5fa6b55f-f4f7-4520-b011-6a5faf03bcc3/deploy-status)](https://app.netlify.com/sites/retiremate/deploys),[![Netlify Status](https://api.netlify.com/api/v1/badges/5fa6b55f-f4f7-4520-b011-6a5faf03bcc3/deploy-status)](https://app.netlify.com/sites/retiremate/deploys),电子礼物/徽章/挂件,0.0,GitLab 0 stars，0 forks,待核验,8.19,无合格英雄图,,
ea2f272ddd684f62,AnilistProfileViewer,GitLab,https://gitlab.com/masonlee1/AnilistProfileViewer,gitlab.com,Anilist image badge that tells profile visits,显示图像,电子礼物/徽章/挂件,0.0,GitLab 0 stars，0 forks,待核验,8.18,无合格英雄图,,
88c5d2b25677c995,Appstronaut Mission Control,GitLab,https://gitlab.com/dyansberg-c/appstronaut-mission-control,gitlab.com,"A goofy web app that launches ordinary app ideas into fake space missions with badges, countdowns, and dramatic mission briefs.",是个愚蠢的网络 将普通的应用程序 输入到徽章、倒计时和戏剧性的任务中,电子礼物/徽章/挂件,0.0,GitLab 0 stars，0 forks,待核验,8.18,无合格英雄图,,
2477446715487ad2,Dashboard,GitLab,https://gitlab.com/open-bar/dashboard,gitlab.com,![coverage](https://gitlab.com/open-bar/dashboard/badges/main/coverage.svg?job=test-application) ![pipeline](https://gitlab.com/open-bar/dashboard/badges/main/pipeline.svg),![coverage](https://gitlab.com/open-bar/dashboard/badges/main/coverage.svg?job=test-application) ![pipeline](https://gitlab.com/open-bar/dashboard/badges/main/pipeline.svg),电子礼物/徽章/挂件,0.0,GitLab 0 stars，0 forks,待核验,8.18,无合格英雄图,,
